2023-11-19 20:01 Model saved! Best Val Acc: 91.46%
2023-11-19 20:02 test_domain Round:  13 | Epochs:  65 | Domain: p | loss: 0.2492 | Acc: 92.87%
2023-11-19 20:02 before_fed Round:  14 | Epochs:  70 | Domain: a | loss: 0.2796 | Acc: 91.35%
2023-11-19 20:02 before_fed Round:  14 | Epochs:  70 | Domain: c | loss: 0.1814 | Acc: 95.36%
2023-11-19 20:02 before_fed Round:  14 | Epochs:  70 | Domain: s | loss: 0.2147 | Acc: 93.72%
2023-11-19 20:02 after_fed Round:  14 | Epochs:  70 | Domain: a | loss: 0.4906 | Acc: 86.54%
2023-11-19 20:02 after_fed Round:  14 | Epochs:  70 | Domain: c | loss: 0.2501 | Acc: 93.25%
2023-11-19 20:02 after_fed Round:  14 | Epochs:  70 | Domain: s | loss: 0.1773 | Acc: 93.47%
2023-11-19 20:02 Model saved! Best Val Acc: 91.70%
2023-11-19 20:02 test_domain Round:  14 | Epochs:  70 | Domain: p | loss: 0.2463 | Acc: 93.11%
2023-11-19 20:03 before_fed Round:  15 | Epochs:  75 | Domain: a | loss: 0.2261 | Acc: 93.75%
2023-11-19 20:03 before_fed Round:  15 | Epochs:  75 | Domain: c | loss: 0.1949 | Acc: 94.09%
2023-11-19 20:03 before_fed Round:  15 | Epochs:  75 | Domain: s | loss: 0.1545 | Acc: 95.23%
2023-11-19 20:03 after_fed Round:  15 | Epochs:  75 | Domain: a | loss: 0.4913 | Acc: 87.50%
2023-11-19 20:03 after_fed Round:  15 | Epochs:  75 | Domain: c | loss: 0.3090 | Acc: 89.87%
2023-11-19 20:03 after_fed Round:  15 | Epochs:  75 | Domain: s | loss: 0.1565 | Acc: 93.97%
2023-11-19 20:03 test_domain Round:  15 | Epochs:  75 | Domain: p | loss: 0.2288 | Acc: 92.63%
2023-11-19 20:03 before_fed Round:  16 | Epochs:  80 | Domain: a | loss: 0.2513 | Acc: 93.27%
2023-11-19 20:04 before_fed Round:  16 | Epochs:  80 | Domain: c | loss: 0.1746 | Acc: 95.78%
2023-11-19 20:04 before_fed Round:  16 | Epochs:  80 | Domain: s | loss: 0.1732 | Acc: 94.47%
2023-11-19 20:04 after_fed Round:  16 | Epochs:  80 | Domain: a | loss: 0.4571 | Acc: 85.58%
2023-11-19 20:04 after_fed Round:  16 | Epochs:  80 | Domain: c | loss: 0.2971 | Acc: 91.14%
2023-11-19 20:04 after_fed Round:  16 | Epochs:  80 | Domain: s | loss: 0.1754 | Acc: 92.96%
2023-11-19 20:04 test_domain Round:  16 | Epochs:  80 | Domain: p | loss: 0.2317 | Acc: 92.81%
2023-11-19 20:04 before_fed Round:  17 | Epochs:  85 | Domain: a | loss: 0.3120 | Acc: 92.79%
2023-11-19 20:04 before_fed Round:  17 | Epochs:  85 | Domain: c | loss: 0.1594 | Acc: 95.36%
2023-11-19 20:05 before_fed Round:  17 | Epochs:  85 | Domain: s | loss: 0.1828 | Acc: 93.97%
2023-11-19 20:05 after_fed Round:  17 | Epochs:  85 | Domain: a | loss: 0.4447 | Acc: 85.58%
2023-11-19 20:05 after_fed Round:  17 | Epochs:  85 | Domain: c | loss: 0.2502 | Acc: 92.41%
2023-11-19 20:05 after_fed Round:  17 | Epochs:  85 | Domain: s | loss: 0.1977 | Acc: 92.71%
2023-11-19 20:05 test_domain Round:  17 | Epochs:  85 | Domain: p | loss: 0.2487 | Acc: 93.11%
2023-11-19 20:05 before_fed Round:  18 | Epochs:  90 | Domain: a | loss: 0.2883 | Acc: 90.87%
2023-11-19 20:05 before_fed Round:  18 | Epochs:  90 | Domain: c | loss: 0.2180 | Acc: 92.83%
2023-11-19 20:06 before_fed Round:  18 | Epochs:  90 | Domain: s | loss: 0.1800 | Acc: 94.47%
2023-11-19 20:06 after_fed Round:  18 | Epochs:  90 | Domain: a | loss: 0.4441 | Acc: 87.98%
2023-11-19 20:06 after_fed Round:  18 | Epochs:  90 | Domain: c | loss: 0.3486 | Acc: 88.61%
2023-11-19 20:06 after_fed Round:  18 | Epochs:  90 | Domain: s | loss: 0.1815 | Acc: 93.47%
2023-11-19 20:06 test_domain Round:  18 | Epochs:  90 | Domain: p | loss: 0.2226 | Acc: 93.41%
2023-11-19 20:06 before_fed Round:  19 | Epochs:  95 | Domain: a | loss: 0.2739 | Acc: 92.79%
2023-11-19 20:06 before_fed Round:  19 | Epochs:  95 | Domain: c | loss: 0.1714 | Acc: 95.78%
2023-11-19 20:06 before_fed Round:  19 | Epochs:  95 | Domain: s | loss: 0.2298 | Acc: 94.47%
2023-11-19 20:06 after_fed Round:  19 | Epochs:  95 | Domain: a | loss: 0.4426 | Acc: 87.02%
2023-11-19 20:06 after_fed Round:  19 | Epochs:  95 | Domain: c | loss: 0.3147 | Acc: 90.72%
2023-11-19 20:06 after_fed Round:  19 | Epochs:  95 | Domain: s | loss: 0.1941 | Acc: 92.71%
2023-11-19 20:06 test_domain Round:  19 | Epochs:  95 | Domain: p | loss: 0.2663 | Acc: 92.22%
2023-11-19 20:07 before_fed Round:  20 | Epochs: 100 | Domain: a | loss: 0.2573 | Acc: 93.75%
2023-11-19 20:07 before_fed Round:  20 | Epochs: 100 | Domain: c | loss: 0.1983 | Acc: 94.09%
2023-11-19 20:07 before_fed Round:  20 | Epochs: 100 | Domain: s | loss: 0.1792 | Acc: 94.22%
