2023-11-19 13:43 test_domain Round:  25 | Epochs: 125 | Domain: p | loss: 0.2673 | Acc: 92.63%
2023-11-19 13:43 before_fed Round:  26 | Epochs: 130 | Domain: a | loss: 0.3022 | Acc: 93.27%
2023-11-19 13:43 before_fed Round:  26 | Epochs: 130 | Domain: c | loss: 0.2228 | Acc: 94.09%
2023-11-19 13:43 before_fed Round:  26 | Epochs: 130 | Domain: s | loss: 0.1353 | Acc: 95.23%
2023-11-19 13:43 after_fed Round:  26 | Epochs: 130 | Domain: a | loss: 0.4223 | Acc: 88.46%
2023-11-19 13:43 after_fed Round:  26 | Epochs: 130 | Domain: c | loss: 0.3251 | Acc: 91.98%
2023-11-19 13:43 after_fed Round:  26 | Epochs: 130 | Domain: s | loss: 0.1568 | Acc: 94.97%
2023-11-19 13:43 test_domain Round:  26 | Epochs: 130 | Domain: p | loss: 0.2567 | Acc: 92.87%
2023-11-19 13:44 before_fed Round:  27 | Epochs: 135 | Domain: a | loss: 0.2499 | Acc: 92.79%
2023-11-19 13:44 before_fed Round:  27 | Epochs: 135 | Domain: c | loss: 0.2758 | Acc: 92.41%
2023-11-19 13:44 before_fed Round:  27 | Epochs: 135 | Domain: s | loss: 0.1336 | Acc: 95.73%
2023-11-19 13:44 after_fed Round:  27 | Epochs: 135 | Domain: a | loss: 0.4055 | Acc: 88.46%
2023-11-19 13:44 after_fed Round:  27 | Epochs: 135 | Domain: c | loss: 0.3287 | Acc: 91.14%
2023-11-19 13:44 after_fed Round:  27 | Epochs: 135 | Domain: s | loss: 0.1771 | Acc: 94.72%
2023-11-19 13:44 test_domain Round:  27 | Epochs: 135 | Domain: p | loss: 0.2567 | Acc: 92.75%
2023-11-19 13:44 before_fed Round:  28 | Epochs: 140 | Domain: a | loss: 0.2955 | Acc: 92.31%
2023-11-19 13:45 before_fed Round:  28 | Epochs: 140 | Domain: c | loss: 0.2014 | Acc: 94.94%
2023-11-19 13:45 before_fed Round:  28 | Epochs: 140 | Domain: s | loss: 0.1494 | Acc: 95.73%
