2023-11-20 23:48 test_domain Round:  14 | Epochs:  70 | Domain: p | loss: 0.2146 | Acc: 93.47%
2023-11-20 23:48 before_fed Round:  15 | Epochs:  75 | Domain: a | loss: 0.2609 | Acc: 95.67%
2023-11-20 23:48 before_fed Round:  15 | Epochs:  75 | Domain: c | loss: 0.1882 | Acc: 96.62%
2023-11-20 23:49 before_fed Round:  15 | Epochs:  75 | Domain: s | loss: 0.1542 | Acc: 94.97%
2023-11-20 23:49 after_fed Round:  15 | Epochs:  75 | Domain: a | loss: 0.4102 | Acc: 87.50%
2023-11-20 23:49 after_fed Round:  15 | Epochs:  75 | Domain: c | loss: 0.3204 | Acc: 92.41%
2023-11-20 23:49 after_fed Round:  15 | Epochs:  75 | Domain: s | loss: 0.1499 | Acc: 93.97%
2023-11-20 23:49 Model saved! Best Val Acc: 91.94%
2023-11-20 23:49 test_domain Round:  15 | Epochs:  75 | Domain: p | loss: 0.2352 | Acc: 92.69%
2023-11-20 23:49 before_fed Round:  16 | Epochs:  80 | Domain: a | loss: 0.2534 | Acc: 92.79%
2023-11-20 23:49 before_fed Round:  16 | Epochs:  80 | Domain: c | loss: 0.2441 | Acc: 95.78%
2023-11-20 23:50 before_fed Round:  16 | Epochs:  80 | Domain: s | loss: 0.1528 | Acc: 94.47%
2023-11-20 23:50 after_fed Round:  16 | Epochs:  80 | Domain: a | loss: 0.3808 | Acc: 88.46%
2023-11-20 23:50 after_fed Round:  16 | Epochs:  80 | Domain: c | loss: 0.4296 | Acc: 89.45%
2023-11-20 23:50 after_fed Round:  16 | Epochs:  80 | Domain: s | loss: 0.1495 | Acc: 94.72%
2023-11-20 23:50 test_domain Round:  16 | Epochs:  80 | Domain: p | loss: 0.2492 | Acc: 92.63%
2023-11-20 23:50 before_fed Round:  17 | Epochs:  85 | Domain: a | loss: 0.3289 | Acc: 90.87%
2023-11-20 23:50 before_fed Round:  17 | Epochs:  85 | Domain: c | loss: 0.2233 | Acc: 94.09%
2023-11-20 23:50 before_fed Round:  17 | Epochs:  85 | Domain: s | loss: 0.1748 | Acc: 94.22%
2023-11-20 23:50 after_fed Round:  17 | Epochs:  85 | Domain: a | loss: 0.4211 | Acc: 86.06%
2023-11-20 23:50 after_fed Round:  17 | Epochs:  85 | Domain: c | loss: 0.3819 | Acc: 91.14%
2023-11-20 23:50 after_fed Round:  17 | Epochs:  85 | Domain: s | loss: 0.1783 | Acc: 93.47%
2023-11-20 23:50 test_domain Round:  17 | Epochs:  85 | Domain: p | loss: 0.2616 | Acc: 92.51%
2023-11-20 23:51 before_fed Round:  18 | Epochs:  90 | Domain: a | loss: 0.3225 | Acc: 91.35%
2023-11-20 23:51 before_fed Round:  18 | Epochs:  90 | Domain: c | loss: 0.2316 | Acc: 94.09%
2023-11-20 23:51 before_fed Round:  18 | Epochs:  90 | Domain: s | loss: 0.1283 | Acc: 95.98%
2023-11-20 23:51 after_fed Round:  18 | Epochs:  90 | Domain: a | loss: 0.3783 | Acc: 88.46%
2023-11-20 23:51 after_fed Round:  18 | Epochs:  90 | Domain: c | loss: 0.4195 | Acc: 87.76%
2023-11-20 23:51 after_fed Round:  18 | Epochs:  90 | Domain: s | loss: 0.1361 | Acc: 94.47%
2023-11-20 23:51 test_domain Round:  18 | Epochs:  90 | Domain: p | loss: 0.2550 | Acc: 92.57%
2023-11-20 23:51 before_fed Round:  19 | Epochs:  95 | Domain: a | loss: 0.2782 | Acc: 92.31%
2023-11-20 23:52 before_fed Round:  19 | Epochs:  95 | Domain: c | loss: 0.2397 | Acc: 96.20%
2023-11-20 23:52 before_fed Round:  19 | Epochs:  95 | Domain: s | loss: 0.1091 | Acc: 96.23%
2023-11-20 23:52 after_fed Round:  19 | Epochs:  95 | Domain: a | loss: 0.4372 | Acc: 87.02%
2023-11-20 23:52 after_fed Round:  19 | Epochs:  95 | Domain: c | loss: 0.3402 | Acc: 90.72%
2023-11-20 23:52 after_fed Round:  19 | Epochs:  95 | Domain: s | loss: 0.1111 | Acc: 94.97%
